id;tracked_at;latitude;longitude;geom;accuracy;new_track;created_at;trip_id;user_id;altitude;speed
3222876837;2019-09-27 06:57:36.385999+00;40.42488821675766;-3.682822619348191;0101000020E61000006A8E98B46B760DC007B7B1BC62364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876838;2019-09-27 06:57:42.903+00;40.42492500435224;-3.6827954386845336;0101000020E61000007A1078745D760DC007794AF163364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876839;2019-09-27 06:57:49.368999+00;40.42490196851964;-3.682796254210253;0101000020E61000009150EDE15D760DC021660D3063364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876840;2019-09-27 06:57:55.914+00;40.42493724381515;-3.6826968101480957;0101000020E6100000535BC5BE29760DC0EC84F65764364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876841;2019-09-27 06:58:02.448999+00;40.42502606453906;-3.68270281908832;0101000020E610000081F846E52C760DC049920B4167364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876842;2019-09-27 06:58:08.904+00;40.42505306879393;-3.682701477396053;0101000020E610000084C632312C760DC066C4922368364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876843;2019-09-27 06:58:15.437999+00;40.425003637664936;-3.682735567903274;0101000020E610000034AFBF103E760DC0D939EA8466364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876844;2019-09-27 06:58:21.907+00;40.4250287947243;-3.6829213512431216;0101000020E61000007BA22A789F760DC07E99F25767364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876845;2019-09-27 06:58:28.367+00;40.42503894128587;-3.6828457564346793;0101000020E61000006DCB00D677760DC0B52C10AD67364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876846;2019-09-27 06:58:34.9+00;40.42500856273031;-3.6828388498432965;0101000020E6100000281F043774760DC02CB93AAE66364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876847;2019-09-27 06:58:41.342999+00;40.42497690997423;-3.6827616427233214;0101000020E6100000E1AD73BC4B760DC07DF2B4A465364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876848;2019-09-27 06:58:48.017999+00;40.4249658280877;-3.682782132411035;0101000020E610000001FD877A56760DC0F1C6BE4765364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876849;2019-09-27 06:58:56.930999+00;40.424938601084186;-3.682758428454731;0101000020E61000005C400A0D4A760DC0773B596364364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876850;2019-09-27 06:59:11.953+00;40.424930497601274;-3.6827513735176813;0101000020E6100000CE75245A46760DC09F225F1F64364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876851;2019-09-27 06:59:27.451999+00;40.4249514757387;-3.682740190125188;0101000020E61000002105227D40760DC0A35759CF64364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876852;2019-09-27 06:59:33.898999+00;40.424965482019985;-3.6827331371194214;0101000020E610000052967ECA3C760DC0349AD74465364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876853;2019-09-27 06:59:42.321+00;40.42498175990646;-3.6828289084690624;0101000020E6100000A01AB5006F760DC0EE1864CD65364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876854;2019-09-27 06:59:57.582999+00;40.424974521797544;-3.682847768502494;0101000020E610000017EB0EE478760DC07960AC9065364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876855;2019-09-27 07:00:04.098999+00;40.42497475053647;-3.6828413899269856;0101000020E610000092BBF08B75760DC00797979265364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876856;2019-09-27 07:00:12.71+00;40.42505430068136;-3.6827107371638887;0101000020E6100000C3F9050C31760DC0AD39E82D68364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876857;2019-09-27 07:00:19.171+00;40.42497722452572;-3.6827271484028876;0101000020E61000009BDAB3A639760DC0007158A765364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876858;2019-09-27 07:00:27.000999+00;40.42497496505384;-3.6827704740570226;0101000020E6100000A0FEC55D50760DC03343649465364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876859;2019-09-27 07:00:40.065+00;40.425019525812544;-3.6826860270875676;0101000020E6100000DB377E1724760DC05EC3310A67364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
